TransactionID,AccountNumber,TransactionType,Amount,TransactionDate,BranchCode,Currency,TransactionStatus,Channel,Fees,GeoLocation
1,534945.0,Deposit,713.76,2022-07-03,93,GBP,Failed,,0.89,"51.5074,-0.1278"
2,574396.0,Transfer,634.13,2023-10-25,222,AED,Completed,Branch,4.18,"40.7128,-74.006"
3,956076.0,Deposit,7954.74,2024-02-15,477,AUD,Failed,POS,9.24,"-33.8688,151.2093"
4,215793.0,Transfer,7055.1,2021-11-01,406,JPY,Failed,ATM,0.29,"35.6895,139.6917"
5,760445.0,Transfer,8421.09,2022-05-11,20,GBP,Failed,Mobile App,,"51.5074,-0.1278"
6,825810.0,Deposit,2041.42,2020-05-04,194,EUR,Pending,,4.24,"52.52,13.405"
7,821936.0,Payment,9275.04,2020-03-26,271,SGD,Completed,POS,9.16,"40.7128,-74.006"
8,851388.0,Withdrawal,792.73,2023-07-20,231,EUR,Completed,Mobile App,6.5,"-33.8688,151.2093"
9,827121.0,Withdrawal,3228.66,2024-02-20,397,USD,Reversed,Mobile App,,"40.7128,-74.006"
10,527905.0,Withdrawal,6958.77,2020-10-01,472,JPY,Completed,POS,4.81,"35.6895,139.6917"
11,541749.0,Withdrawal,5146.6,2024-09-05,216,JPY,Reversed,Mobile App,5.27,
12,919994.0,Deposit,4135.22,2022-04-10,423,AUD,Pending,Mobile App,8.95,"19.076,72.8777"
13,909845.0,Withdrawal,618.03,2020-05-09,403,AUD,Reversed,ATM,1.87,"-33.8688,151.2093"
14,557729.0,Deposit,6191.25,2024-10-01,100,JPY,Completed,ATM,6.86,"35.6895,139.6917"
15,744360.0,Payment,9562.81,2021-07-02,72,USD,Reversed,Online Banking,,"40.7128,-74.006"
16,119374.0,Transfer,9756.14,2024-09-30,443,GBP,Pending,ATM,,"51.5074,-0.1278"
17,335968.0,Payment,6157.69,2023-03-15,326,JPY,Failed,POS,8.9,"35.6895,139.6917"
18,614907.0,,7210.03,2022-06-15,472,AUD,Failed,ATM,8.41,"-33.8688,151.2093"
19,350700.0,,7333.98,2019-05-17,83,USD,Pending,ATM,1.38,"40.7128,-74.006"
20,257435.0,Payment,4110.09,2019-12-23,494,GBP,Completed,Branch,4.76,
21,922273.0,Payment,9044.24,2022-05-01,145,SGD,Failed,Mobile App,6.45,"35.6895,139.6917"
