TransactionID,AccountNumber,TransactionType,Amount,TransactionDate,BranchCode,Currency,TransactionTime,TransactionStatus,Channel,IsInternational,Fees,TransactionCategory,GeoLocation
1,534945,Transfer,3676.6907470515,2023-01-01 00:00:00,9,GBP,11,Completed,Mobile App,No,1,,"51.5074,-0.1278"
2,574396,Deposit,3434.0443253437,2023-01-02 00:00:00,407,JPY,4,Completed,Branch,Yes,5,Salary,"40.7128,-74.0060"
3,956076,Withdrawal,8367.14781395114,2023-01-03 00:00:00,123,USD,23,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
4,215793,Transfer,7043.06762499775,2023-01-04 00:00:00,458,USD,6,Completed,Mobile App,Yes,1,Loan Payment,"35.6895,139.6917"
5,760445,Payment,9402.57933438732,2023-01-05 00:00:00,384,GBP,23,Completed,Mobile App,No,1,Utility,"51.5074,-0.1278"
6,825810,Transfer,2888.70896203098,2023-01-06 00:00:00,153,EUR,22,Completed,POS,No,1.5,Loan Payment,"52.5200,13.4050"
7,821936,Withdrawal,9986.8297353486,2023-01-07 00:00:00,418,USD,5,Completed,ATM,No,2.5,Cash Withdrawal,"40.7128,-74.0060"
8,851388,Payment,9295.62355676316,2023-01-08 00:00:00,265,JPY,2,Completed,POS,Yes,1.5,Utility,"52.5200,13.4050"
9,827121,Withdrawal,7647.59072654907,2023-01-09 00:00:00,183,USD,12,Completed,ATM,No,2.5,Cash Withdrawal,"40.7128,-74.0060"
10,383334,Payment,,2023-01-10 00:00:00,134,USD,18,Completed,,Yes,1.5,Utility,"35.6895,139.6917"
11,541749,Transfer,2239.7691993294,2023-01-11 00:00:00,152,USD,5,Completed,Mobile App,Yes,1,Loan Payment,"35.6895,139.6917"
12,919994,Withdrawal,3613.14646768208,2023-01-12 00:00:00,459,JPY,1,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
13,909845,Withdrawal,872.021160696059,2023-01-13 00:00:00,181,GBP,10,Completed,,Yes,2.5,,"-33.8688,151.2093"
14,710663,Payment,5098.61311330898,2023-01-14 00:00:00,97,USD,22,Completed,POS,Yes,1.5,Travel,"35.6895,139.6917"
15,744360,Transfer,3384.27925842022,2023-01-15 00:00:00,90,JPY,18,Completed,ATM,Yes,2.5,Loan Payment,"40.7128,-74.0060"
16,119374,Transfer,4459.13605751757,2023-01-16 00:00:00,180,USD,10,Completed,Mobile App,Yes,1,Loan Payment,"51.5074,-0.1278"
17,635130,Withdrawal,620.608874721773,2023-01-17 00:00:00,420,USD,3,Completed,ATM,Yes,2.5,Cash Withdrawal,"35.6895,139.6917"
18,614907,Payment,9930.37894342699,2023-01-18 00:00:00,384,GBP,15,Completed,POS,Yes,1.5,Travel,"-33.8688,151.2093"
19,350700,Transfer,235.820340229885,2023-01-19 00:00:00,320,USD,4,Pending,Branch,No,5,Loan Payment,"40.7128,-74.0060"
20,257435,Transfer,1314.07317783956,2023-01-20 00:00:00,75,EUR,4,Completed,POS,Yes,1.5,Loan Payment,"51.5074,-0.1278"
21,380950,Payment,1640.85646835357,2023-01-21 00:00:00,215,USD,16,Completed,POS,Yes,1.5,Utility,"35.6895,139.6917"
22,125124,Deposit,1456.81339196224,2023-01-22 00:00:00,278,USD,21,Failed,Online Banking,Yes,0,Salary,"-33.8688,151.2093"
23,795889,Transfer,,2023-01-23 00:00:00,421,GBP,11,Completed,POS,Yes,1.5,Loan Payment,"40.7128,-74.0060"
24,479868,Deposit,8358.6473079762,2023-01-24 00:00:00,38,EUR,19,Completed,Branch,Yes,5,Salary,"40.7128,-74.0060"
25,494191,Deposit,7691.92215090605,2023-01-25 00:00:00,210,USD,19,Completed,Branch,No,5,Salary,"40.7128,-74.0060"
26,288509,Payment,1541.11432208596,2023-01-26 00:00:00,442,GBP,21,Completed,POS,No,1.5,Utility,"51.5074,-0.1278"
27,579995,Payment,1876.34371155723,2023-01-27 00:00:00,465,USD,14,Completed,Mobile App,No,,Shopping,"40.7128,-74.0060"
