AccountNumber,AccountHolder,AccountType,Balance,InterestRate,CreditScore,OpeningDate,LoanAmount,AccountHolderDetails
534945,James Jones,Credit,31724.3873160193,4.0768723183604,729,2020-01-01 00:00:00,48133.5554861671,"Sector: Technology, Residence: 15 years, City: London"
574396,Joseph Moore,Loan,44838.0727327408,3.71776572979494,703,2020-01-02 00:00:00,41114.4515737371,"Sector: Retail, Residence: 10 years, City: New York"
956076,,Checking,8013.33242020821,4.99226192172641,591,2020-01-03 00:00:00,9916.21275594655,"Sector: Technology, Residence: 7 years, City: Sydney"
215793,Michael Smith,Checking,16022.3661001264,3.07217258857027,376,2020-01-04 00:00:00,25116.0517732897,"Sector: Finance, Residence: 16 years, City: Tokyo"
760445,William Johnson,Checking,44496.6736668988,3.95013722668377,387,2020-01-05 00:00:00,26105.2854810877,"Sector: Healthcare, Residence: 1 years, City: London"
825810,,Checking,46199.8667309585,4.33671728174656,384,2020-01-06 00:00:00,12825.903237623,"Sector: Technology, Residence: 9 years, City: Berlin"
821936,Jennifer Johnson,Credit,24118.7283158387,1.43150714837794,325,2020-01-07 00:00:00,17638.9452016168,"Sector: Finance, Residence: 16 years, City: New York"
851388,Barbara Wilson,Savings,15181.644465201,2.0951268535754,326,2020-01-08 00:00:00,23857.5424326934,"Sector: Healthcare, Residence: 12 years, City: Berlin"
827121,Robert Miller,Savings,6516.4643339484,1.4057750194103,611,2020-01-09 00:00:00,17602.1134211122,"Sector: Retail, Residence: 13 years, City: New York"
383334,Susan Wilson,Savings,42652.0239754528,0.742865871152115,813,2020-01-10 00:00:00,35650.4194290051,"Sector: Finance, Residence: 16 years, City: Tokyo"
541749,Charles Miller,Checking,6686.72896021947,1.01380125613803,546,2020-01-11 00:00:00,38643.6765591292,"Sector: Education, Residence: 2 years, City: Tokyo"
919994,,Loan,19143.8580591882,4.91216082574621,816,2020-01-12 00:00:00,44281.9596881135,"Sector: Retail, Residence: 15 years, City: Sydney"
909845,Elizabeth Smith,Loan,19770.7168473214,3.82171272073778,849,2020-01-13 00:00:00,40950.9287737427,"Sector: Finance, Residence: 16 years, City: Sydney"
710663,Thomas Smith,Loan,44168.652747776,2.77314974571401,358,2020-01-14 00:00:00,6436.5874220971,"Sector: Education, Residence: 15 years, City: Tokyo"
744360,Jessica Moore,Credit,48920.5809420705,1.65751490413933,516,2020-01-15 00:00:00,44959.6289351071,"Sector: Technology, Residence: 5 years, City: New York"
119374,Mary Williams,Credit,277.483482649915,0.82007462477544,342,2020-01-16 00:00:00,26872.0340496688,"Sector: Retail, Residence: 12 years, City: London"
635130,Charles Jackson,Credit,23046.5153036278,0.769429840128228,530,2020-01-17 00:00:00,32051.7929532114,"Sector: Technology, Residence: 11 years, City: Tokyo"
614907,Richard Davis,Savings,44467.1995896822,4.18090567174225,631,2020-01-18 00:00:00,29823.4148904373,"Sector: Technology, Residence: 6 years, City: Sydney"
350700,William Jones,Credit,39758.9430453852,-999,832,2020-01-19 00:00:00,33204.0094544979,"Sector: Education, Residence: 4 years, City: New York"
257435,Jessica Moore,Savings,13185.888815468,*^$$,706,2020-01-20 00:00:00,10219.220873336,"Sector: Education, Residence: 19 years, City: London"
380950,James Johnson,Credit,5424.63533163451,1.59039267327905,583,2020-01-21 00:00:00,33283.8161056025,"Sector: Finance, Residence: 11 years, City: Tokyo"
125124,Sarah Williams,Loan,42369.899837741,3.0444385859169,486,2020-01-22 00:00:00,8685.90523298895,"Sector: Finance, Residence: 12 years, City: Sydney"
795889,Barbara Garcia,Loan,9666.09013062396,1.47671359214723,476,2020-01-23 00:00:00,31155.7995696668,"Sector: Retail, Residence: 19 years, City: New York"
479868,James Gonzalez,Loan,9528.76165243002,1.25123753406912,571,2020-01-24 00:00:00,14791.9073753416,"Sector: Technology, Residence: 3 years, City: New York"
494191,Mary Davis,Credit,38158.0667156169,2.76087902691501,476,2020-01-25 00:00:00,45190.4927516011,"Sector: Education, Residence: 2 years, City: New York"
288509,Michael Thomas,Savings,32556.2666622068,0.520755377090594,508,2020-01-26 00:00:00,13895.2071412517,"Sector: Healthcare, Residence: 2 years, City: London"
579995,,Loan,19552.1004239044,0.671674330320571,804,2020-01-27 00:00:00,49041.141699083,"Sector: Finance, Residence: 14 years, City: New York"
781925,Susan Taylor,Credit,21561.5663691883,0.944667061544642,734,2020-01-28 00:00:00,24011.0951302109,"Sector: Finance, Residence: 8 years, City: Berlin"
528097,Sarah Moore,Savings,37312.1402582534,4.92056281362059,630,2020-01-29 00:00:00,20356.17549262,"Sector: Technology, Residence: 2 years, City: Tokyo"
167556,John Garcia,Loan,331.214754465742,1.83364172727283,512,2020-01-30 00:00:00,19666.2939307124,"Sector: Education, Residence: 13 years, City: Berlin"
686034,Sarah Williams,Credit,23483.1065190617,0.517394421119563,704,2020-01-31 00:00:00,7444.39791339976,"Sector: Education, Residence: 9 years, City: London"
501942,Barbara Taylor,Savings,2231.10071028374,3.55902781057595,363,2020-02-01 00:00:00,44044.595160628,"Sector: Technology, Residence: 17 years, City: Berlin"
890231,David Miller,Loan,45316.4976067486,4.81596553687967,398,2020-02-02 00:00:00,39330.5910418594,"Sector: Retail, Residence: 5 years, City: Tokyo"
337008,Jessica Gonzalez,Credit,36001.501223345,3.8579018298714,390,2020-02-03 00:00:00,20974.765267038,"Sector: Finance, Residence: 13 years, City: Sydney"
937337,Barbara Taylor,Savings,16816.7741699132,2.89438353716013,484,2020-02-04 00:00:00,48661.6228257389,"Sector: Technology, Residence: 1 years, City: Sydney"
950280,,Loan,15888.7814200421,2.15733842327985,346,2020-02-05 00:00:00,48994.8683380299,"Sector: Finance, Residence: 3 years, City: New York"
907384,Elizabeth Taylor,Loan,5798.93057196542,4.92386845111053,395,2020-02-06 00:00:00,34402.6247803463,"Sector: Technology, Residence: 2 years, City: New York"
710890,Robert Thomas,Savings,40974.6629545573,2.24283645018389,699,2020-02-07 00:00:00,26335.5980799312,"Sector: Retail, Residence: 11 years, City: London"
319243,Michael Miller,Checking,5114.72697942472,3.67988835276771,567,2020-02-08 00:00:00,19391.1084796354,"Sector: Technology, Residence: 10 years, City: Tokyo"
394174,Susan Johnson,Savings,9864.18651424618,1.16142971576234,301,2020-02-09 00:00:00,5776.24931779269,"Sector: Technology, Residence: 3 years, City: Tokyo"
192126,John Wilson,Savings,44891.3546493291,2.13957253382924,381,2020-02-10 00:00:00,33320.4105890319,"Sector: Healthcare, Residence: 11 years, City: Sydney"
334892,Patricia Gonzalez,Loan,25577.8746859394,2.00892615982777,847,2020-02-11 00:00:00,39920.5158308912,"Sector: Finance, Residence: 15 years, City: Berlin"
975629,Karen Jones,Savings,13593.9141490316,1.13594069221066,445,2020-02-12 00:00:00,18932.1281035456,"Sector: Education, Residence: 16 years, City: New York"
197133,Jennifer Miller,Savings,28766.7359696642,1.17928119265679,474,2020-02-13 00:00:00,47938.5303435677,"Sector: Education, Residence: 19 years, City: Berlin"
